,Locality,Region,Type,latitude,longitude,price
0,D.N. Nagar,Mumbai,2 BHK Flat 1150 sqft,19.124189376831055,72.83020782470703,"52,000"
1,Andheri West,Mumbai,3 BHK 1610 Sq-ft Flat/Apartment for Rent in Runwal Elegante Andheri West,19.1417141806255,72.828495599599,1.3 Lac
2,Andheri West,Mumbai,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Chitralekha HERRITAGE Andheri West,19.13605492,72.83612939,"55,000"
3,Andheri West,Mumbai,2 BHK Flat 850 sqft,19.121511459350586,72.83191680908203,"54,000"
4,Veera Desai Road,Mumbai,3 BHK Flat 1270 sqft,19.140338897705078,72.83769226074219,"55,000"
5,Andheri West,Mumbai,3 BHK 1650 Sq-ft Flat/Apartment for Rent in Runwal Elegante Andheri West,19.1417141806255,72.828495599599,1.3 Lac
6,Lokhandwala Complex,Mumbai,3 BHK 2195 Sq-ft Flat/Apartment for Rent in Runwal Elegante Lokhandwala Complex,19.1417141806255,72.828495599599,1.1 Lac
7,Veera Desai Road,Mumbai,3 BHK 1400 Sq-ft Flat/Apartment for Rent in Evershine Embassy Veera Desai Road,19.140793043201,72.8367363728463,"65,000"
8,Andheri West,Mumbai,3 BHK Flat 1295 sqft,19.138883590698242,72.83404541015625,1.1 Lac
9,Andheri West,Mumbai,3 BHK 1400 Sq-ft Flat/Apartment for Rent in Runwal Elegante Andheri West,19.1417141806255,72.828495599599,1.6 Lac
10,Andheri West,Mumbai,1 BHK 575 Sq-ft Flat/Apartment for Rent in D Kapoor Hilton Apartment Andheri West,19.1387675,72.8262186,"38,000"
11,Lokhandwala Complex,Mumbai,1 BHK Flat 700 sqft,19.14508819580078,72.82540130615234,"43,000"
12,Andheri West,Mumbai,3 BHK Flat 2050 sqft,19.129003524780273,72.82576751708984,1.3 Lac
13,Andheri West,Mumbai,2 BHK 1250 Sq-ft Flat/Apartment for Rent in Kamal Apartment Andheri West,19.144542,72.823544,"60,000"
14,Juhu Versova Link Road - Andheri West,Mumbai,2 BHK 950 Sq-ft Flat/Apartment for Rent in Rustomjee Elements Juhu Versova Link,19.120471,72.82818,"50,000"
15,SV Patel Nagar,Mumbai,3 BHK Flat 1450 sqft,19.137060165405273,72.82247161865234,"70,000"
16,4 Bunglows,Mumbai,2 BHK 1065 Sq-ft Flat/Apartment for Rent in Itus 4 Bunglows,19.116300944375464,72.83220084466467,"55,000"
17,Andheri West,Mumbai,2 BHK Flat 820 sqft,19.12158966064453,72.83187866210938,"50,000"
18,Lokhandwala Complex,Mumbai,3 BHK Flat 1700 sqft,19.144697189331055,72.82827758789062,"90,000"
19,Four Bungalows,Mumbai,3 BHK Flat 1450 sqft,19.12537,72.82542,1.4 Lac
20,Azad Nagar - Andheri West,Mumbai,2 BHK Flat 1100 sqft,19.125120162963867,72.8405532836914,"47,000"
21,D.N. Nagar,Mumbai,2 BHK Flat 1150 sqft,19.124189376831055,72.83020782470703,"49,500"
22,Andheri West,Mumbai,1 BHK Flat 650 sqft,19.1297376,72.8291555,"45,000"
23,Lokhandwala Complex,Mumbai,3 BHK 1360 Sq-ft Flat/Apartment for Rent in Runwal Elegante Lokhandwala Complex,19.1417141806255,72.828495599599,1.2 Lac
