,Locality,Region,Type,latitude,longitude,price
0,Chembur,Mumbai,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Raheja Acropolis Chembur,19.048042,72.919006,"58,000"
1,Chembur,Mumbai,3 BHK 1520 Sq-ft Flat/Apartment for Rent in Raheja Acropolis Chembur,19.048042,72.919006,"58,000"
2,Tilak Nagar - Harbour Line,Mumbai,1 BHK Flat 650 sqft,19.06826400756836,72.89427947998047,"31,000"
3,Chembur,Mumbai,2 BHK Flat 1150 sqft,19.063844680786133,72.89096069335938,"47,000"
4,Chembur,Mumbai,3 BHK 1810 Sq-ft Flat/Apartment for Rent in KRITIKA ANNEXE Chembur,19.0479365,72.906129,"63,000"
5,Chembur,Mumbai,3 BHK Flat 950 sqft,19.048282623291016,72.88851165771484,"70,000"
6,Govandi Station Road,Mumbai,3 BHK 2000 Sq-ft Flat/Apartment for Rent in Satyam Springs Govandi Station Road,19.0508155,72.9132023,"85,000"
7,Shell Colony,Mumbai,2 BHK 1200 Sq-ft Flat/Apartment for Rent in Godrej Prime Shell Colony,19.0637822,72.892005,"45,000"
8,Chembur,Mumbai,1 BHK Flat 750 sqft,19.032798767089844,72.89635467529297,"37,000"
9,Chembur,Mumbai,3 BHK Flat 1550 sqft,19.05599594116211,72.90364074707031,"90,000"
10,Chembur,Mumbai,2 BHK 1238 Sq-ft Flat/Apartment for Rent in Skyluxe Near Diamond Garden,19.05781929324,72.9044036513105,"48,000"
11,Chembur,Mumbai,1 BHK 700 Sq-ft Flat/Apartment for Rent in Godrej Serenity Mumbai Chembur,19.0486128,72.9199859,"43,000"
12,Sahyadri Nagar,Mumbai,2 BHK Flat 850 sqft,19.21399688720703,72.83197021484375,"28,000"
13,Chembur East,Mumbai,2 BHK Flat 850 sqft,19.043911,72.898778,"35,000"
14,Shell Colony,Mumbai,2 BHK 1251 Sq-ft Flat/Apartment for Rent in Godrej Prime Shell Colony,19.0637822,72.892005,"48,000"
15,Chembur,Mumbai,3 BHK 1300 Sq-ft Flat/Apartment for Rent in Godrej Prime Chembur,19.0637822,72.892005,"55,000"
16,Chembur,Mumbai,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Cosmic Heights Chembur,19.0327996,72.8963568,"47,000"
17,Chembur,Mumbai,3 BHK 1800 Sq-ft Flat/Apartment for Rent in Krishna Heritage Matri Park,19.0423972,72.891114,"75,000"
18,Central Avenue Road,Mumbai,3 BHK Flat 1900 sqft,19.053144454956055,72.89828491210938,"73,500"
19,Union Park,Mumbai,2 BHK Flat 850 sqft,72.90251159667969,19.049699783325195,1.2 Lac
20,Chembur,Mumbai,"3 BHK 2000 Sq-ft Flat/Apartment for Rent in Swami Tower Swami Tower, Chembur",19.0565064,72.899611,"95,000"
21,Chembur,Mumbai,1 BHK Builder Floor 790 sqft,19.0327996,72.8963568,"34,000"
