,Locality,Region,Type,latitude,longitude,price
0,Bhayanderpada,Thane,2 BHK 1233 Sq-ft Flat/Apartment for Rent in Lodha Splendora Bhayanderpada,19.283103022435,72.956399308722,"20,000"
1,Hiranandani Estate,Thane,3 BHK Flat 1850 sqft,19.25899314880371,72.9863510131836,"55,000"
2,Kasarvadavali,Thane,2 BHK Flat 723 sqft,19.270063400268555,72.96987915039062,"14,500"
3,Manpada,Thane,2 BHK Flat 1087 sqft,19.231731414794922,72.97183990478516,"25,000"
4,Ghodbunder Road,Thane,1 BHK Flat 550 sqft,19.227052688598633,72.98251342773438,"17,000"
5,Ghodbunder Road,Thane,2 BHK 1125 Sq-ft Flat/Apartment for Rent in Tropical Lagoon Ghodbunder Road,19.266421,72.9717841,"34,000"
6,Ghodbunder Road,Thane,2 BHK 1045 Sq-ft Flat/Apartment for Rent in Veera Residency Ghodbunder Road,19.276292,72.964352,"16,500"
7,Kasarvadavali,Thane,1 BHK 630 Sq-ft Flat/Apartment for Rent in Vihang Valley Kasarvadavali,19.267285,72.9608345,"14,000"
8,Bhayanderpada,Thane,2 BHK 944 Sq-ft Flat/Apartment for Rent in Lodha Splendora Bhayanderpada,19.283103022435,72.956399308722,"16,000"
9,Hiranandani Estate,Thane,3 BHK Flat 1445 sqft,19.2553768157959,72.98460388183594,"35,000"
10,Hiranandani Estate,Thane,2 BHK Flat 1095 sqft,19.256784439086914,72.98822021484375,"35,000"
11,Ghodbunder Road,Thane,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Cosmos Jewels Ghodbunder Road,19.2599992194126,72.9688309756233,"23,000"
12,Ghodbunder Road,Thane,2 BHK 1300 Sq-ft Flat/Apartment for Rent in Tropical Lagoon Anand Nagar near bus depo,19.266421,72.9717841,"27,000"
13,Manpada,Thane,2 BHK Flat 1250 sqft,19.2308277,72.9741067,"26,000"
14,Ghodbunder Road,Thane,2 BHK Flat 999 sqft,19.253101348876953,72.98238372802734,"27,000"
15,Ghodbunder Road,Thane,3 BHK 1800 Sq-ft Flat/Apartment for Rent in Rodas Enclave Rodas Enclave,19.2591843,72.9831185,"50,000"
16,Kasarvadavali,Thane,3 BHK Flat 1500 sqft,19.265413284301758,72.96644592285156,"23,000"
17,Ghodbunder Road,Thane,2 BHK 1220 Sq-ft Flat/Apartment for Rent in Dosti Imperia Ghodbunder Road,19.205414,72.959681,"34,000"
18,Hiranandani Estate,Thane,3 BHK Flat 1450 sqft,19.255857467651367,72.98658752441406,"45,000"
19,Kavesar,Thane,2 BHK Flat 840 sqft,19.265625,72.97340393066406,"20,000"
20,Kasarvadavali,Thane,1 BHK 705 Sq-ft Flat/Apartment for Rent in Veera Residency Kasarvadavali,19.276292,72.964352,"14,000"
21,Anand Nagar,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Vijay Residency Anand Nagar,19.265174,72.965538,"22,000"
22,Ghodbunder Road,Thane,2 BHK Flat 999 sqft,19.257061004638672,72.98372650146484,"35,000"
23,Ghodbunder Road,Thane,2 BHK Flat 800 sqft,19.25572395324707,72.98062133789062,"26,000"
24,Ghodbunder Road,Thane,3 BHK 1350 Sq-ft Flat/Apartment for Rent in Rosa Bella Ghodbunder Road,19.2561356370358,72.9717903804173,"29,000"
25,Kavesar,Thane,2 BHK Flat 667 sqft,19.260726,72.972643,"12,700"
26,Bhayanderpada,Thane,2 BHK 1002 Sq-ft Flat/Apartment for Rent in Vihang Hills Bhayanderpada,19.27968,72.953588,"14,000"
27,Ghodbunder Road,Thane,2 BHK Flat 865 sqft,19.2472159,72.977837,"26,000"
28,Bhayanderpada,Thane,"3 BHK 1950 Sq-ft Flat/Apartment for Rent in Bhayanderpada, Thane",19.2258358001709,73.146484375,"25,000"
29,Owale,Thane,"2 BHK 1000 Sq-ft Flat/Apartment for Rent in Owale, Thane",19.246883392333984,73.1135025024414,"16,000"
30,Ghodbunder Road,Thane,3 BHK Flat 1650 sqft,19.234578,72.972307,"44,000"
31,Hiranandani Estate,Thane,4 BHK Flat 2525 sqft,19.2575583,72.9829639,"80,000"
32,Ghodbunder Road,Thane,2 BHK Flat 1090 sqft,19.231057,72.9787911525052,"26,000"
33,Ghodbunder Road,Thane,2 BHK Flat 730 sqft,19.256725,72.9774516666667,"18,500"
34,Ghodbunder Road,Thane,2 BHK Flat 1050 sqft,19.2572026,72.9718044,"24,000"
35,Ghodbunder Road,Thane,"2 BHK 925 Sq-ft Flat/Apartment for Rent in Ghodbunder Road, Thane",19.263431,72.9680802,"23,000"
36,Ghodbunder Road,Thane,2 BHK Flat 850 sqft,19.283103022435,72.956399308722,"30,000"
37,Ghodbunder Road,Thane,"2 BHK 950 Sq-ft Flat/Apartment for Rent in Ghodbunder Road, Thane",19.22581672668457,73.14651489257812,"19,500"
38,Kasarvadavali,Thane,2 BHK Flat 1000 sqft,19.269825,72.962451,"27,000"
39,Ghodbunder Road,Thane,1 BHK Flat 650 sqft,19.2654,72.97258,"14,000"
40,Hiranandani Estate,Thane,3 BHK 1420 Sq-ft Flat/Apartment for Rent in Skylark Enclave Hiranandani Estate,19.2575583,72.9829639,"45,000"
41,Bhayanderpada,Thane,1 BHK 473 Sq-ft Flat/Apartment for Rent in Puraniks Rumah Bali Bhayanderpada,19.281096,72.953788,"15,000"
42,Patlipada,Thane,1 BHK 586 Sq-ft Flat/Apartment for Rent in Rutu Estate Patlipada,19.2472159,72.977837,"16,000"
43,Kavesar,Thane,2 BHK Flat 850 sqft,19.257783889770508,72.97002410888672,"16,000"
44,Patlipada,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Cosmos Classique Patlipada,19.24757,72.9800384595066,"24,000"
45,Ghodbunder Road,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Rodas Enclave Ghodbunder Road,19.2591843,72.9831185,"42,500"
46,Patlipada,Thane,1 BHK Flat 650 sqft,19.2407538,72.9726305,"17,000"
47,Ghodbunder Road,Thane,2 BHK Flat 990 sqft,19.257139205932617,72.98383331298828,"32,000"
48,Manpada,Thane,3 BHK 1350 Sq-ft Flat/Apartment for Rent in The Verraton Manpada,19.240329,72.966559,"40,000"
49,Ghodbunder Road,Thane,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Acme Ozone Ghodbunder Road,19.234578,72.972307,"26,500"
50,Hiranandani Estate,Thane,3 BHK 1850 Sq-ft Flat/Apartment for Rent in Rodas Enclave Hiranandani Estate,19.2591843,72.9831185,"60,000"
51,Anand Nagar,Thane,3 BHK 1665 Sq-ft Flat/Apartment for Rent in Tropical Lagoon Anand Nagar,19.266421,72.9717841,"34,000"
52,Patlipada,Thane,1 BHK Flat 712 sqft,19.24443244934082,72.97624969482422,"27,000"
53,Kasarvadavali,Thane,2 BHK Flat 1051 sqft,19.272836685180664,72.96469116210938,"16,000"
54,Bhayanderpada,Thane,2 BHK 750 Sq-ft Flat/Apartment for Rent in Puraniks Rumah Bali Bhayanderpada,19.281096,72.953788,"20,000"
55,Hiranandani Estate,Thane,3 BHK 1800 Sq-ft Flat/Apartment for Rent in Hiranandani Estate - Casablanca Hiranandani Estate,19.252832,72.98213,"40,500"
56,Ghodbunder Road,Thane,3 BHK 1835 Sq-ft Flat/Apartment for Rent in Dosti Imperia DOSTI IMPERIA NEAR BY MANPADA.,19.205414,72.959681,"54,000"
