,Locality,Region,Type,latitude,longitude,price
0,Goregaon East,Mumbai,3 BHK 1200 Sq-ft Flat/Apartment for Rent in Oberoi Woods yashodham,19.1700134,72.8646545,"68,000"
1,Goregaon East,Mumbai,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Rushi Heights Goregaon East,19.17802411,72.87212826,"44,400"
2,Goregaon East,Mumbai,3 BHK 1820 Sq-ft Flat/Apartment for Rent in Oberoi Exquisite Goregaon East,19.17167384,72.86478709,1.1 Lac
3,Goregaon East,Mumbai,3 BHK 2195 Sq-ft Flat/Apartment for Rent in Oberoi Esquire Goregaon East,19.1590077,72.8692711,1.1 Lac
4,Goregaon East,Mumbai,2 BHK 980 Sq-ft Flat/Apartment for Rent in JP Decks Blue Goregaon East,19.17603669,72.86795229,"43,000"
5,Goregaon East,Mumbai,2 BHK 980 Sq-ft Flat/Apartment for Rent in JP Decks Blue Goregaon East,19.17603669,72.86795229,"44,000"
6,Goregaon East,Mumbai,3 BHK 2195 Sq-ft Flat/Apartment for Rent in Oberoi Esquire Goregaon East,19.1590077,72.8692711,1.0 Lac
7,Goregaon East,Mumbai,2 BHK Flat 800 sqft,19.1590077,72.8692711,"38,000"
8,Goregaon East,Mumbai,2 BHK Flat 1150 sqft,19.174041748046875,72.86505126953125,"50,000"
9,Goregaon East,Mumbai,2 BHK Flat 950 sqft,19.174755096435547,72.86518096923828,"45,000"
10,Film City Road,Mumbai,2 BHK 970 Sq-ft Flat/Apartment for Rent in Mantri Park Film City Road,19.1696363631805,72.8813072936111,"40,000"
11,Goregaon East,Mumbai,3 BHK 2205 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,"93,000"
12,Goregaon East,Mumbai,2 BHK 1400 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,"80,000"
13,Goregaon East,Mumbai,3 BHK 1650 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,"80,100"
14,Gokuldham,Mumbai,2 BHK Flat 1050 sqft,19.17230987548828,72.87261962890625,"34,000"
15,Goregaon East,Mumbai,1 BHK 650 Sq-ft Flat/Apartment for Rent in Sadguru Complex Goregaon East,19.1741063832625,72.8722170672341,"30,000"
16,Gokuldham,Mumbai,3 BHK 1400 Sq-ft Flat/Apartment for Rent in Lakshachandi Apartments Gokuldham,19.17169932,72.87096822,"70,000"
17,Film City Road,Mumbai,2 BHK 980 Sq-ft Flat/Apartment for Rent in Omkar Ananta Film City Road,19.16885607,72.87786054,"35,000"
18,Goregaon East,Mumbai,1 BHK 500 Sq-ft Flat/Apartment for Rent in Onkar Goregaon East,19.1748689329473,72.8612692658388,"32,000"
19,Goregaon East,Mumbai,3 BHK 1350 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza near by hub mall,19.1547839,72.8540607,"75,000"
20,Film City Road,Mumbai,3 BHK 1450 Sq-ft Flat/Apartment for Rent in Aster Tower Film City Road,19.1763894941309,72.8607586572769,"57,000"
21,Gokuldham,Mumbai,2 BHK 1150 Sq-ft Flat/Apartment for Rent in Aster Tower Gokuldham,19.1763894941309,72.8607586572769,"50,000"
22,Ganesh Nagar - Goregaon East,Mumbai,1 BHK Flat 610 sqft,19.20310401916504,72.8269271850586,"21,000"
23,Jayprakash Nagar,Mumbai,2 BHK Flat 672 sqft,19.16451878,72.85562596,"51,000"
24,Goregaon East,Mumbai,2 BHK Builder Floor 650 sqft,19.179580688476562,72.86109924316406,"32,000"
25,Goregaon East,Mumbai,1 BHK Flat 770 sqft,19.177220805592,72.8705878488227,"33,000"
26,Goregaon East,Mumbai,4 BHK Flat 3230 sqft,19.1590077,72.8692711,2.0 Lac
27,Pahadi Goregaon East,Mumbai,3 BHK Flat 1600 sqft,19.1547839,72.8540607,"85,000"
28,Film City Road,Mumbai,"1 BHK 650 Sq-ft Flat/Apartment for Rent in Film City Road, Mumbai",19.11944007873535,72.86393737792969,"31,000"
29,Gokuldham,Mumbai,1 BHK Flat 675 sqft,19.175534,72.872754,"33,000"
30,Goregaon East,Mumbai,"2 BHK 1000 Sq-ft Flat/Apartment for Rent in Goregaon East, Mumbai",19.1292667388916,72.85240173339844,"40,000"
31,Gokuldham,Mumbai,2 BHK 1565 Sq-ft Flat/Apartment for Rent in DB Woods Gokuldham,19.17100978,72.87098943,"58,000"
32,Goregaon East,Mumbai,3 BHK 1820 Sq-ft Flat/Apartment for Rent in Oberoi Exquisite goregaon east yashodham aarey,19.17167384,72.86478709,1.0 Lac
33,Goregaon East,Mumbai,2 BHK 1215 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,"65,000"
34,Bimbisar Nagar,Mumbai,2 BHK 745 Sq-ft Flat/Apartment for Rent in Raheja Ridgewood Bimbisar Nagar,19.1462121,72.8534961,"42,500"
35,Goregaon East,Mumbai,3 BHK 1650 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,"78,000"
36,Oberoi Splendor,Mumbai,3 BHK Flat 1377 sqft,19.14447593688965,72.86827087402344,"77,000"
37,Goregaon East,Mumbai,4 BHK 3195 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,1.4 Lac
38,Goregaon East,Mumbai,1 BHK 620 Sq-ft Flat/Apartment for Rent in Onkar Goregaon East,19.1748689329473,72.8612692658388,"33,000"
39,Goregaon East,Mumbai,3 BHK 2195 Sq-ft Flat/Apartment for Rent in Oberoi Esquire Goregaon East,19.1590077,72.8692711,1.1 Lac
40,Goregaon East,Mumbai,2 BHK 1350 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,"65,000"
41,Gokuldham,Mumbai,2 BHK 900 Sq-ft Flat/Apartment for Rent in Satellite Tower Gokuldham,19.1738042,72.873797,"50,000"
42,Gokuldham,Mumbai,2 BHK Flat 1200 sqft,19.17231,72.87262,"38,000"
43,Aarey Milk Colony,Mumbai,2 BHK Flat 1100 sqft,19.15496826171875,72.8520278930664,"55,000"
44,Subhash Nagar - Goregaon East,Mumbai,2 BHK 1239 Sq-ft Flat/Apartment for Rent in Skyluxe Subhash Nagar,19.05781929324,72.9044036513105,"52,000"
45,Goregaon East,Mumbai,4 BHK 3300 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza Goregaon East,19.1547839,72.8540607,2.0 Lac
46,Goregaon East,Mumbai,3 BHK 1750 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza hub mall,19.1547839,72.8540607,"81,300"
47,Goregaon East,Mumbai,3 BHK 1700 Sq-ft Flat/Apartment for Rent in Oberoi Exquisite Goregaon East,19.17167384,72.86478709,1.0 Lac
48,Goregaon East,Mumbai,3 BHK 1820 Sq-ft Flat/Apartment for Rent in Oberoi Exquisite Goregaon East,19.17167384,72.86478709,1.1 Lac
49,Azad Nagar - Goregaon East,Mumbai,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Acme Stadium View Azad Nagar,19.12986957,72.83319559,"50,500"
