,Locality,Region,Type,latitude,longitude,price
0,Thakur Complex,Mumbai,1 BHK Flat 650 sqft,19.213186264038086,72.86506652832031,"24,000"
1,Kandivali East,Mumbai,3 BHK 1422 Sq-ft Flat/Apartment for Rent in Acme Oasis Kandivali East,19.200165,72.868551,"38,000"
2,Kandivali East,Mumbai,3 BHK 1495 Sq-ft Flat/Apartment for Rent in Alpine Shapoorji Pallonji Kandivali East,19.2062083,72.872531,"44,000"
3,Thakur Village,Mumbai,2 BHK 915 Sq-ft Flat/Apartment for Rent in Viceroy Court Thakur Village,19.2131769,72.8716513,"40,000"
4,Kandivali East,Mumbai,2 BHK 1374 Sq-ft Flat/Apartment for Rent in Acme Oasis Kandivali East,19.200165,72.868551,"44,400"
5,Lokhandwala Twp,Mumbai,2 BHK Flat 1090 sqft,19.196941375732422,72.87028503417969,"33,000"
6,Thakur Village,Mumbai,2 BHK Flat 800 sqft,19.204971313476562,72.87104797363281,"24,000"
7,Lokhandwala Twp,Mumbai,1 BHK Flat 400 sqft,19.19591522216797,72.86897277832031,"17,500"
8,Thakur Village,Mumbai,2 BHK Flat 860 sqft,19.210342407226562,72.87367248535156,"35,000"
9,Kandivali East,Mumbai,2 BHK Flat 700 sqft,19.200443267822266,72.85663604736328,"25,000"
10,Kandivali East,Mumbai,2 BHK 1200 Sq-ft Flat/Apartment for Rent in Alpine Shapoorji Pallonji Kandivali East,19.2062083,72.872531,"40,000"
11,Thakur Village,Mumbai,3 BHK Flat 1325 sqft,19.205820083618164,72.8726806640625,"50,000"
12,Thakur Village,Mumbai,2 BHK Flat 1290 sqft,19.20509147644043,72.87205505371094,"42,000"
13,Lokhandwala Twp,Mumbai,2 BHK 900 Sq-ft Flat/Apartment for Rent in Acme Oasis Lokhandwala Twp,19.200165,72.868551,"28,000"
14,Thakur Complex,Mumbai,3 BHK Flat 1350 sqft,19.21207046508789,72.86602020263672,"40,000"
15,Kandivali East,Mumbai,2 BHK 1200 Sq-ft Flat/Apartment for Rent in Alpine Shapoorji Pallonji Kandivali East,19.2062083,72.872531,"41,000"
16,Thakur Complex,Mumbai,2 BHK 877 Sq-ft Flat/Apartment for Rent in Gokul Nagari 1 Thakur Complex,19.2135509,72.867515,"23,000"
17,Kandivali East,Mumbai,2 BHK Flat 1200 sqft,19.20491600036621,72.87079620361328,"26,000"
18,Kandivali East,Mumbai,2 BHK Flat 886 sqft,19.204418182373047,72.87158203125,"21,000"
19,Kandivali East,Mumbai,2 BHK 1070 Sq-ft Flat/Apartment for Rent in Gundecha Kandivali East,19.2050017,72.8692711,"35,000"
20,Kandivali East,Mumbai,3 BHK 1495 Sq-ft Flat/Apartment for Rent in Shapoorji Pallanji Alphine Kandivali East,19.2050017,72.8692711,"55,000"
21,Thakur Village,Mumbai,2 BHK 850 Sq-ft Flat/Apartment for Rent in Vasant Sagar Thakur Village,19.208746,72.873196,"35,000"
22,Ashok Nagar - Akurli Nagar,Mumbai,2 BHK 1135 Sq-ft Flat/Apartment for Rent in Kalpataru Towers Ashok Nagar Western Mumbai,19.2033323,72.857001,"45,000"
23,Thakur Village,Mumbai,2 BHK 1250 Sq-ft Flat/Apartment for Rent in Vishnu Shivam Tower Thakur Village,19.212281,72.8695549,"37,000"
24,Thakur Village,Mumbai,2 BHK 900 Sq-ft Flat/Apartment for Rent in Bhoomi Valley Thakur Village,19.2069605,72.879858,"25,000"
25,Thakur Complex,Mumbai,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Vasant Pride Thakur Complex,19.21041064,72.86360069,"35,000"
26,Kandivali East,Mumbai,1 BHK 650 Sq-ft Flat/Apartment for Rent in Vicky Classic Kandivali East,19.2135393,72.8375645,"26,000"
27,Akurli Nagar,Mumbai,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Acme Oasis Akurli Nagar,19.200165,72.868551,"32,000"
28,Kandivali East,Mumbai,3 BHK 1320 Sq-ft Flat/Apartment for Rent in Evershine Crown Kandivali East,19.214379,72.87259,"42,000"
29,Thakur Complex,Mumbai,1 BHK 580 Sq-ft Flat/Apartment for Rent in Tarang Apartment Thakur Complex,19.2123069,72.864477,"23,000"
30,Kandivali East,Mumbai,1 BHK Flat 640 sqft,19.2050017,72.8692711,"23,500"
31,Kandivali East,Mumbai,2 BHK Flat 1000 sqft,19.21041064,72.86360069,"42,000"
32,Lokhandwala Twp,Mumbai,3 BHK Flat 1500 sqft,19.212571,72.8735217,"40,000"
33,Kandivali East,Mumbai,"1 BHK 585 Sq-ft Flat/Apartment for Rent in Kandivali East, Mumbai",19.2050017,72.8692711,"20,000"
