,Locality,Region,Type,latitude,longitude,price
0,Mahavir Nagar,Mumbai,3 BHK Flat 1224 sqft,19.19175,72.84694,"37,000"
1,Kandivali West,Mumbai,2 BHK 861 Sq-ft Flat/Apartment for Rent in Rustomjee Meridian Kandivali West,19.20678417,72.81912281,"35,000"
2,Kandivali West,Mumbai,3 BHK 1250 Sq-ft Flat/Apartment for Rent in Hiranandani Heritage Kandivali West,19.21327815,72.84995547,"55,000"
3,Mahavir Nagar,Mumbai,1 BHK 650 Sq-ft Flat/Apartment for Rent in Panchsheel Residency Mahavir Nagar,19.215122,72.83838,"25,000"
4,Mahavir Nagar,Mumbai,1 BHK Flat 560 sqft,19.19175,72.84694,"18,000"
5,Kandivali West,Mumbai,1 BHK Flat 650 sqft,19.2099437,72.8308692,"19,000"
6,Kandivali West,Mumbai,1 BHK Flat 450 sqft,19.201047897338867,72.82725524902344,"15,000"
7,Ekta Nagar Charkop,Mumbai,Studio Apartment 340 sqft,19.201644897460938,72.82582092285156,"11,000"
8,Kandivali West,Mumbai,"1 BHK 625 Sq-ft Flat/Apartment for Rent in Kandivali West, Mumbai",19.277511596679688,72.8575210571289,"20,000"
9,Sector 8 Charkop ,Mumbai,1 BHK Flat 605 sqft,19.21815,72.81592,"20,000"
10,Sector 8 Charkop ,Mumbai,"2 BHK 1000 Sq-ft Flat/Apartment for Rent in Charkop Sector 8, Mumbai",19.218149185180664,72.81591796875,"28,000"
11,Kandivali West,Mumbai,3 BHK Flat 1611 sqft,19.2172859547242,72.8400420418298,"55,000"
12,Mahavir Nagar,Mumbai,4 BHK 2400 Sq-ft Flat/Apartment for Rent in Lotus Prestige Mahavir Nagar,19.21483076,72.84969913,"80,000"
13,Ganesh Nagar JJC Area,Mumbai,3 BHK 1720 Sq-ft Flat/Apartment for Rent in Sai Dham Complex Ganesh Nagar JJC Area,19.2027224,72.8324424,"42,000"
14,Kandivali West,Mumbai,2 BHK Flat 870 sqft,19.198503494262695,72.81841278076172,"25,500"
15,Kandivali West,Mumbai,1 BHK Flat 520 sqft,19.207889556884766,72.8415756225586,"23,000"
16,Mahavir Nagar,Mumbai,3 BHK 1290 Sq-ft Flat/Apartment for Rent in Hiranandani Heritage Mahavir Nagar,19.21327815,72.84995547,"70,000"
17,Mahatama Gandhi Road,Mumbai,1 BHK Flat 660 sqft,19.20766830444336,72.83450317382812,"24,000"
18,Kandivali West,Mumbai,2 BHK Flat 880 sqft,19.20873260498047,72.83697509765625,"30,000"
19,Kandivali West,Mumbai,2 BHK 1210 Sq-ft Flat/Apartment for Rent in Kalpavruksh Heights Kandivali West,19.201879,72.834483,"60,000"
20,Kandivali West,Mumbai,"2 BHK 660 Sq-ft Flat/Apartment for Rent in Kandivali West, Mumbai",19.209943771362305,72.83087158203125,"35,000"
21,Kandivali West,Mumbai,2 BHK 995 Sq-ft Flat/Apartment for Rent in Kalpavruksh Heights lalji pada link road,19.201879,72.834483,"35,000"
22,Dahanukar Wadi,Mumbai,1 BHK Flat 700 sqft,19.201858520507812,72.83409881591797,"25,000"
