,Locality,Region,Type,latitude,longitude,price
0,Majiwada,Thane,2 BHK 1261 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"29,000"
1,Majiwada,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Cosmos Habitat Majiwada,19.2182706,72.980817,"25,000"
2,Majiwada,Thane,2 BHK 1150 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"28,000"
3,Majiwada,Thane,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Sheth Avalon Majiwada,19.2086072933165,72.9735877101495,"32,000"
4,Majiwada,Thane,3 BHK 1460 Sq-ft Flat/Apartment for Rent in Vasant Lawns Majiwada,19.212072,72.9752984,"40,000"
5,Majiwada,Thane,2 BHK 1150 Sq-ft Flat/Apartment for Rent in Rustomjee Athena Near Boulevard Mall,19.211868,72.986213,"28,000"
6,Majiwada,Thane,2 BHK 1170 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"28,000"
7,Majiwada,Thane,1 BHK 650 Sq-ft Flat/Apartment for Rent in Lodha Paradise Majiwada,19.2128973,72.9832952,"22,000"
8,Majiwada,Thane,2 BHK 900 Sq-ft Flat/Apartment for Rent in Vasant Fiona Majiwada,19.212876,72.975306,"30,000"
9,Majiwada,Thane,2 BHK 1020 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"28,000"
10,Majiwada,Thane,2 BHK Flat 1160 sqft,19.212072,72.9752984,"40,000"
11,Majiwada,Thane,"2 BHK 1100 Sq-ft Flat/Apartment for Rent in Majiwada, Thane",19.22576332092285,73.14651489257812,"35,000"
12,Majiwada,Thane,2 BHK Flat 995 sqft,19.2073161,72.977245,"36,000"
13,Majiwada,Thane,3 BHK 1602 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Majiwada,19.215186,72.987193,"38,000"
14,Majiwada,Thane,3 BHK 1755 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Balkum Pada - Majiwada,19.214872,72.987236,"39,200"
15,Majiwada,Thane,3 BHK 1855 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Majiwada,19.215186,72.987193,"40,000"
16,Majiwada,Thane,2 BHK 980 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"25,000"
17,Majiwada,Thane,4 BHK 2100 Sq-ft Flat/Apartment for Rent in Rustomjee Aurelia Balkum Pada - Majiwada,19.207397,72.988236,"45,000"
18,Majiwada,Thane,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Majiwada,19.215186,72.987193,"28,000"
19,Majiwada,Thane,3 BHK 1680 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"38,000"
20,Majiwada,Thane,2 BHK 1300 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Mumbai - Nasik highway,19.208801,72.987206,"30,000"
21,Majiwada,Thane,3 BHK Flat 1250 sqft,19.2128973,72.9832952,"28,000"
22,Majiwada,Thane,3 BHK Flat 1570 sqft,19.206731,72.98791,"39,000"
23,Balkum Pada,Thane,"3 BHK 1335 Sq-ft Flat/Apartment for Rent in Balkum village, Thane",19.223129272460938,72.9872817993164,"36,000"
24,Balkum Pada,Thane,1 BHK 650 Sq-ft Flat/Apartment for Rent in Runwal Eirene Balkum village,19.22331378,72.98849622,"18,200"
25,Majiwada,Thane,2 BHK 1260 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"30,000"
26,Majiwada,Thane,2 BHK 1250 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Balkum Pada - Majiwada,19.215186,72.987193,"32,000"
27,Majiwada,Thane,2 BHK 1200 Sq-ft Flat/Apartment for Rent in Sheth Avalon Majiwada,19.2086072933165,72.9735877101495,"40,000"
28,Majiwada,Thane,1 BHK 594 Sq-ft Flat/Apartment for Rent in Lodha Casa Ultima Pokhran Road no. 2,19.2105026,72.9717902,"23,000"
29,Majiwada,Thane,3 BHK 1650 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"40,000"
30,Majiwada,Thane,3 BHK 1100 Sq-ft Flat/Apartment for Rent in Vasant Lawns Majiwada,19.212072,72.9752984,"40,000"
31,Majiwada,Thane,1 BHK Flat 500 sqft,19.215652,72.991208,"23,000"
32,Majiwada,Thane,3 BHK 1570 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"42,000"
33,Majiwada,Thane,2 BHK 1260 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"35,000"
34,Majiwada,Thane,1 BHK 650 Sq-ft Flat/Apartment for Rent in Swami Krupa Majiwada,19.191286,72.977393,"17,500"
35,Majiwada,Thane,3 BHK 2079 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Balkum Pada - Majiwada,19.214872,72.987236,"47,000"
36,Majiwada,Thane,1 BHK Flat 580 sqft,19.215652465820312,72.9912109375,"13,000"
37,Majiwada,Thane,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"35,000"
38,Majiwada,Thane,2 BHK 1135 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Balkum Pada - Majiwada,19.206731,72.98791,"26,000"
39,Majiwada,Thane,2 BHK 932 Sq-ft Flat/Apartment for Rent in Acura Rustomji Urbania,19.2106657,72.9879907,"25,000"
40,Majiwada,Thane,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Lodha Paradise Balkum Pada - Majiwada,19.2128973,72.9832952,"48,000"
41,Majiwada,Thane,2 BHK 1260 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"30,500"
42,Majiwada,Thane,3 BHK 1420 Sq-ft Flat/Apartment for Rent in Vasant Lawns Majiwada,19.212072,72.9752984,"52,000"
43,Majiwada,Thane,2 BHK 960 Sq-ft Flat/Apartment for Rent in Vasant Fiona Majiwada,19.212876,72.975306,"33,000"
44,Majiwada,Thane,2 BHK 1060 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"35,000"
45,Balkum Pada,Thane,1 BHK 420 Sq-ft Flat/Apartment for Rent in Runwal Eirene Balkum village,19.22331378,72.98849622,"18,000"
46,Balkum Pada,Thane,2 BHK 585 Sq-ft Flat/Apartment for Rent in NG Regency Balkum village,19.2268951664666,72.9969086867181,"17,000"
47,Majiwada,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"30,000"
48,Majiwada,Thane,2 BHK 1089 Sq-ft Flat/Apartment for Rent in Sheth Avalon Majiwada,19.209881,72.97259,"30,500"
49,Majiwada,Thane,3 BHK 2050 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Majiwada,19.215186,72.987193,"42,000"
50,Majiwada,Thane,3 BHK 1120 Sq-ft Flat/Apartment for Rent in Rustomjee Athena Majiwada,19.211868,72.986213,"27,000"
51,Majiwada,Thane,1 BHK 600 Sq-ft Flat/Apartment for Rent in Lodha Paradise Majiwada,19.2128973,72.9832952,"18,000"
52,Majiwada,Thane,3 BHK 1650 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"35,000"
53,Majiwada,Thane,2 BHK Flat 1100 sqft,19.215652,72.991208,"27,000"
54,Majiwada,Thane,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"30,000"
55,Majiwada,Thane,2 BHK 1170 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"28,000"
56,Majiwada,Thane,2 BHK Flat 850 sqft,19.217180252075195,72.99126434326172,"21,000"
57,Majiwada,Thane,2 BHK Flat 1170 sqft,19.207387924194336,72.98785400390625,"43,000"
58,Majiwada,Thane,2 BHK 1400 Sq-ft Flat/Apartment for Rent in Sheth Avalon Majiwada,19.2086072933165,72.9735877101495,"34,000"
59,Majiwada,Thane,1 BHK 607 Sq-ft Flat/Apartment for Rent in Lodha Paradise Majiwada,19.2128973,72.9832952,"18,000"
60,Majiwada,Thane,2 BHK 960 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"30,000"
61,Majiwada,Thane,2 BHK 900 Sq-ft Flat/Apartment for Rent in Neelkanth Palms Majiwada,19.220528921958,72.9760541808747,"26,500"
62,Majiwada,Thane,3 BHK 1080 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Majiwada,19.215186,72.987193,"35,000"
63,Majiwada,Thane,2 BHK 900 Sq-ft Flat/Apartment for Rent in Vasant Fiona Majiwada,19.212876,72.975306,"31,000"
64,Majiwada,Thane,2 BHK 900 Sq-ft Flat/Apartment for Rent in Rutu Park Majiwada,19.209888,72.980982,"25,000"
65,Balkum Pada,Thane,2 BHK 830 Sq-ft Flat/Apartment for Rent in Runwal Eirene Balkum village,19.22331378,72.98849622,"25,000"
66,Majiwada,Thane,2 BHK 850 Sq-ft Flat/Apartment for Rent in Rustomjee Athena Majiwada,19.211868,72.986213,"24,500"
67,Majiwada,Thane,2 BHK 750 Sq-ft Flat/Apartment for Rent in Vasant Fiona Majiwada,19.212876,72.975306,"25,000"
68,Majiwada,Thane,2 BHK 1140 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Majiwada,19.215186,72.987193,"30,000"
69,Majiwada,Thane,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"35,000"
70,Majiwada,Thane,3 BHK 1570 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"42,000"
71,Majiwada,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Lodha Paradise Majiwada,19.2128973,72.9832952,"25,000"
72,Majiwada,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Lodha Paradise Majiwada,19.2128973,72.9832952,"27,000"
73,Majiwada,Thane,2 BHK 1160 Sq-ft Flat/Apartment for Rent in Vasant Lawns Majiwada Junction,19.212072,72.9752984,"35,000"
74,Majiwada,Thane,"2 BHK 750 Sq-ft Flat/Apartment for Rent in Majiwada, Thane",19.215652,72.991208,"29,000"
75,Majiwada,Thane,3 BHK 1620 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"35,000"
76,Majiwada,Thane,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Acura Majiwada,19.2106657,72.9879907,"31,000"
77,Majiwada,Thane,1 BHK 600 Sq-ft Flat/Apartment for Rent in Lodha Paradise Majiwada,19.2128973,72.9832952,"24,000"
78,Balkum Pada,Thane,2 BHK 1060 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Balkum village,19.208801,72.987206,"26,000"
79,Majiwada,Thane,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"35,000"
80,Majiwada,Thane,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Majiwada,19.215186,72.987193,"28,500"
81,Majiwada,Thane,2 BHK Flat 990 sqft,19.216172,72.972294,"30,000"
82,Majiwada,Thane,"2 BHK 810 Sq-ft Flat/Apartment for Rent in Majiwada, Thane",19.215652,72.991208,"28,000"
83,Balkum Pada,Thane,2 BHK Flat 530 sqft,19.22331378,72.98849622,"25,000"
84,Majiwada,Thane,2 BHK Flat 932 sqft,19.2106657,72.9879907,"26,000"
85,Balkum Pada,Thane,2 BHK Flat 530 sqft,19.22331378,72.98849622,"25,000"
86,Majiwada,Thane,1 BHK Flat 650 sqft,19.219122,72.9816877,"21,500"
87,Balkum Pada,Thane,1 BHK Flat 558 sqft,19.2268951664666,72.9969086867181,"14,000"
88,Majiwada,Thane,2 BHK Flat 1111 sqft,19.215687,72.98264,"42,000"
89,Majiwada,Thane,"1 BHK 750 Sq-ft Flat/Apartment for Rent in Majiwada, Thane",19.215652,72.991208,"18,000"
90,Majiwada,Thane,2 BHK Flat 1100 sqft,19.214409,72.986968,"35,000"
91,Majiwada,Thane,"1 BHK 650 Sq-ft Flat/Apartment for Rent in Majiwada, Thane",19.194406509399414,73.02277374267578,"20,500"
92,Majiwada,Thane,2 BHK 1090 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano L Wing Majiwada,19.209425,72.987909,"24,000"
