,Locality,Region,Type,latitude,longitude,price
0,Kolshet Road,Thane,2 BHK 742 Sq-ft Flat/Apartment for Rent in Sunrise by Kalpataru Kolshet Road,19.228471,72.987741,"20,000"
1,Kolshet Road,Thane,3 BHK 1477 Sq-ft Flat/Apartment for Rent in Sunrise by Kalpataru Kolshet Road,19.228471,72.987741,"30,000"
2,Kolshet Road,Thane,1 BHK 605 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"17,500"
3,Manpada,Thane,2 BHK Flat 1087 sqft,19.231731414794922,72.97183990478516,"25,000"
4,Kolshet Road,Thane,2 BHK 1035 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"22,000"
5,Kolshet Road,Thane,3 BHK 1677 Sq-ft Flat/Apartment for Rent in Sunrise Grande Kolshet Road,19.2321621,72.9873688,"39,000"
6,Kapurbawdi,Thane,2 BHK 1020 Sq-ft Flat/Apartment for Rent in Ashar Sapphire Kapurbawdi,19.223541,72.978712,"25,000"
7,Majiwada,Thane,2 BHK 1150 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"28,000"
8,Majiwada,Thane,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Sheth Avalon Majiwada,19.2086072933165,72.9735877101495,"32,000"
9,Vasant Vihar - Thane West,Thane,3 BHK 1600 Sq-ft Flat/Apartment for Rent in Siddhachal Elite Vasant Vihar,19.2236788970589,72.9652013231644,"42,000"
10,Thane West,Thane,3 BHK 1065 Sq-ft Flat/Apartment for Rent in Kalpataru Tarangan 1 Thane West,19.203481,72.964598,"37,000"
11,Naupada,Thane,1 BHK Flat 700 sqft,19.185062408447266,72.96043395996094,"22,000"
12,Thane West,Thane,1 BHK Flat 550 sqft,19.24496841430664,72.98460388183594,"15,000"
13,Manpada,Thane,3 BHK 1650 Sq-ft Flat/Apartment for Rent in Neelkanth Greens Manpada,19.243536,72.97065,"36,000"
14,Dhokali,Thane,2 BHK Flat 1000 sqft,19.227802276611328,72.98283386230469,"24,500"
15,Kolshet Road,Thane,3 BHK 1550 Sq-ft Flat/Apartment for Rent in Sunrise by Kalpataru Kolshet Road,19.228471,72.987741,"30,000"
16,Majiwada,Thane,2 BHK 1150 Sq-ft Flat/Apartment for Rent in Rustomjee Athena Near Boulevard Mall,19.211868,72.986213,"28,000"
17,Kolshet Road,Thane,2 BHK 1026 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"22,500"
18,Thane West,Thane,1 BHK Flat 630 sqft,19.258193969726562,72.97842407226562,"22,000"
19,Majiwada,Thane,1 BHK 650 Sq-ft Flat/Apartment for Rent in Lodha Paradise Majiwada,19.2128973,72.9832952,"22,000"
20,Kolshet Road,Thane,2 BHK 700 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"30,000"
21,Thane West,Thane,2 BHK 999 Sq-ft Flat/Apartment for Rent in Kalpataru Hills Thane West,19.2364557031356,72.965323,"26,000"
22,Majiwada,Thane,2 BHK 1020 Sq-ft Flat/Apartment for Rent in Rustomjee Urbania Majiwada,19.208801,72.987206,"28,000"
23,Majiwada,Thane,2 BHK Flat 1160 sqft,19.212072,72.9752984,"40,000"
24,Vasant Vihar - Thane West,Thane,"4 BHK 2500 Sq-ft Flat/Apartment for Rent in Vasant Vihar, Thane",19.246917724609375,73.11343383789062,"75,000"
25,Thane West,Thane,2 BHK Flat 975 sqft,19.2651271,72.9644544,"23,000"
26,Majiwada,Thane,"2 BHK 1100 Sq-ft Flat/Apartment for Rent in Majiwada, Thane",19.22576332092285,73.14651489257812,"35,000"
27,Majiwada,Thane,2 BHK Flat 995 sqft,19.2073161,72.977245,"36,000"
28,Thane West,Thane,2 BHK 760 Sq-ft Flat/Apartment for Rent in Hiranandani Estate Lavinia Thane West,19.25799146,72.98579564,"24,000"
29,Pokharan Road No. 2,Thane,1 BHK Flat 660 sqft,19.222896575927734,72.96004486083984,"18,000"
30,Manpada,Thane,1 BHK 421 Sq-ft Flat/Apartment for Rent in Hiranandani Estate Lavinia Manpada,19.25799146,72.98579564,"21,000"
31,Kolshet Road,Thane,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"22,500"
32,Kolshet Road,Thane,2 BHK 1185 Sq-ft Flat/Apartment for Rent in Sunrise by Kalpataru Kolshet Road,19.228471,72.987741,"28,000"
33,Thane West,Thane,1 BHK 630 Sq-ft Flat/Apartment for Rent in Hiranandani Estate Lavinia ghodbundar road,19.25799146,72.98579564,"23,500"
