ID,Apartment Type,Hub,Price in INR,Locality,Region,latitude,longitude
1,1 BHK,Airoli_NM,21500,Sector 8-Airoli,Navi Mumbai,19.142843,72.996792
2,2 BHK,Airoli_NM,29000,Airoli,Navi Mumbai,19.18225122,72.99384902
3,1 BHK,Airoli_NM,22000,Airoli,Navi Mumbai,19.14551354,72.99784088
4,3 BHK,Airoli_NM,44500,Airoli,Navi Mumbai,19.18225122,72.99384902
5,2 BHK,Airoli_NM,30000,Airoli,Navi Mumbai,19.14393616,72.99456024
6,2 BHK,Airoli_NM,30000,Airoli,Navi Mumbai,19.18225122,72.99384902
7,1 BHK,Airoli_NM,18500,Airoli,Navi Mumbai,19.15859604,72.99901581
8,2 BHK,Airoli_NM,50000,Airoli,Navi Mumbai,19.1468707,72.9970984
9,2 BHK,Airoli_NM,24000,Airoli,Navi Mumbai,19.1585969,72.9990168
10,2 BHK,Airoli_NM,28000,Sector 2-Airoli,Navi Mumbai,19.16162682,72.99868012
11,2 BHK,Airoli_NM,25000,Airoli,Navi Mumbai,19.1585969,72.9990168
12,2 BHK,Airoli_NM,18000,Airoli,Navi Mumbai,19.1585969,72.9990168
13,1 BHK,Airoli_NM,21000,Sector 9-Airoli,Navi Mumbai,19.14540863,72.98937225
14,2 BHK,Airoli_NM,35000,Airoli,Navi Mumbai,19.18225122,72.99384902
15,2 BHK,Airoli_NM,26000,Sector 3-Airoli,Navi Mumbai,19.16084862,72.99630737
16,1 BHK,Airoli_NM,24000,Airoli,Navi Mumbai,19.1460225,72.9970968
17,2 BHK,Airoli_NM,23000,Airoli,Navi Mumbai,19.15859604,72.99901581
18,2 BHK,Airoli_NM,18000,Sector 16-Airoli,Navi Mumbai,18.87330437,72.95754242
19,2 BHK,Airoli_NM,25000,Airoli,Navi Mumbai,19.1513645,72.99947705
20,2 BHK,Airoli_NM,30000,Sector 19-Airoli,Navi Mumbai,19.15835326,72.99242218
21,3 BHK,Airoli_NM,45000,Sector 10-Airoli,Navi Mumbai,19.14257848,72.99077445
22,2 BHK,Airoli_NM,32000,Airoli,Navi Mumbai,19.18225122,72.99384902
23,3 BHK,Airoli_NM,70000,Airoli,Navi Mumbai,19.14352162,72.99100188
24,2 BHK,Airoli_NM,40000,Sector 8-Airoli,Navi Mumbai,19.1442852,72.99403381
25,2 BHK,Airoli_NM,35000,Airoli,Navi Mumbai,19.1480785,72.9993105
26,Studio,Airoli_NM,9500,Airoli,Navi Mumbai,19.15859604,72.99901581
27,2 BHK,Airoli_NM,29000,Airoli,Navi Mumbai,19.16788303,72.99084106
28,2 BHK,Airoli_NM,25000,Sector 20-Airoli,Navi Mumbai,19.16174889,72.99182129
29,2 BHK,Airoli_NM,28000,Airoli,Navi Mumbai,19.1585969,72.9990168
30,1 BHK,Airoli_NM,17000,Airoli,Navi Mumbai,19.15859604,72.99901581
31,3 BHK,Airoli_NM,45000,Airoli,Navi Mumbai,19.18225122,72.99384902
32,2 BHK,Airoli_NM,36000,Airoli,Navi Mumbai,19.18225122,72.99384902
33,2 BHK,Airoli_NM,30000,Airoli,Navi Mumbai,19.15859604,72.99901581
34,1 BHK,Airoli_NM,20000,Airoli,Navi Mumbai,19.14557266,72.99681091
35,2 BHK,Airoli_NM,33000,Sector 19-Airoli,Navi Mumbai,19.1586639,72.9940349
36,2 BHK,Airoli_NM,33000,Sector 19-Airoli,Navi Mumbai,19.16025561,72.99288634
37,3 BHK,Airoli_NM,42000,Airoli,Navi Mumbai,19.18225122,72.99384902
38,2 BHK,Airoli_NM,40000,Airoli,Navi Mumbai,19.15611076,73.01606751
39,Studio,Airoli_NM,13000,Airoli,Navi Mumbai,19.15859604,72.99901581
40,2 BHK,Airoli_NM,30000,Sector 19-Airoli,Navi Mumbai,19.15742097,72.99250842
41,1 BHK,Airoli_NM,9500,Sector 20B-Airoli,Navi Mumbai,19.1674366,72.99202728
42,1 BHK,Airoli_NM,19000,Airoli,Navi Mumbai,19.15835326,72.99242218
43,3 BHK,Airoli_NM,42000,Sector 14-Airoli,Navi Mumbai,19.1505909,72.9885025
44,1 BHK,Airoli_NM,24000,Airoli,Navi Mumbai,19.1441892,72.9981648
45,2 BHK,Airoli_NM,32000,Airoli,Navi Mumbai,19.1572605,72.9904742
46,1 BHK,Airoli_NM,21000,Airoli,Navi Mumbai,19.16607857,72.99069977
47,2 BHK,Airoli_NM,38000,Airoli,Navi Mumbai,19.16788303,72.99084106
48,2 BHK,Airoli_NM,38000,Airoli,Navi Mumbai,19.16788303,72.99084106
49,Studio,Airoli_NM,9500,Airoli,Navi Mumbai,19.1585969,72.9990168
50,1 BHK,Airoli_NM,18000,Airoli,Navi Mumbai,19.1585969,72.9990168
51,2 BHK,Airoli_NM,35000,Airoli,Navi Mumbai,19.1572605,72.9904742
52,2 BHK,Airoli_NM,35000,Airoli,Navi Mumbai,19.1572605,72.9904742
53,3 BHK,Airoli_NM,70000,Airoli,Navi Mumbai,19.1585969,72.9990168
54,1 BHK,Airoli_NM,21000,Airoli,Navi Mumbai,19.1598551,72.9887773
55,1 BHK,Airoli_NM,15500,Sector 2-Airoli,Navi Mumbai,19.16181946,72.99698639
56,2 BHK,Airoli_NM,32500,Airoli,Navi Mumbai,19.18225122,72.99384902
57,3 BHK,Airoli_NM,43000,Airoli,Navi Mumbai,19.1585969,72.9990168
58,1 BHK,Airoli_NM,17500,Airoli,Navi Mumbai,19.14405343,72.99076715
59,3 BHK,Airoli_NM,42000,Sector 19-Airoli,Navi Mumbai,19.1586639,72.9940349
60,3 BHK,Airoli_NM,43000,Airoli,Navi Mumbai,19.14257848,72.99077445
61,2 BHK,Airoli_NM,33000,Airoli,Navi Mumbai,19.1585969,72.9990168
62,1 BHK,Airoli_NM,25000,Airoli,Navi Mumbai,19.1466191,72.9947751
63,2 BHK,Airoli_NM,25000,Airoli,Navi Mumbai,19.16025561,72.99288634
64,1 BHK,Airoli_NM,23000,Airoli,Navi Mumbai,19.16743611,72.99202566
65,1 BHK,Airoli_NM,16500,Airoli,Navi Mumbai,19.15859604,72.99901581
66,Studio,Airoli_NM,10000,Airoli,Navi Mumbai,19.15859604,72.99901581
67,1 BHK,Airoli_NM,16500,Airoli,Navi Mumbai,19.15859604,72.99901581
68,2 BHK,Airoli_NM,45000,Airoli,Navi Mumbai,19.1468707,72.9970984
